cost,genes
0.0006022725614519814,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 76. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29. 16.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16.  8. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 26. 34. 62.]"
0.0006022725614519814,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 76. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29. 16.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16.  8. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 26. 34. 62.]"
0.0006022725614519814,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 76. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29. 16.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16.  8. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 26. 34. 62.]"
0.000585306606065511,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 30. 32. 63. 34. 37. 48.  6. 43. 24. 47.  1. 74. 46.
 22.  3. 49. 64. 53. 69. 21. 14. 18. 80.  5. 59. 51. 41. 11. 17. 36. 23.
 54. 33. 20. 65. 50. 78. 61. 44. 40.]"
0.000585306606065511,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 30. 32. 63. 34. 42. 76.  6. 43. 24. 47.  1. 74. 46.
 22.  3. 49. 64. 53. 69. 21. 14. 18. 80. 12. 59. 51. 41. 11. 17. 36.  9.
 54. 52. 27. 65. 50. 78. 61. 44. 40.]"
0.000585306606065511,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 30. 32. 63. 34. 42. 76.  6. 43. 24. 47.  1. 74. 46.
 22.  3. 49. 64. 53. 69. 21. 14. 18. 80. 12. 59. 51. 41. 11. 17. 36.  9.
 54. 52. 27. 65. 50. 78. 61. 44. 40.]"
0.0005452993308972966,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16. 75. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 71. 34. 62.]"
0.0005452993308972966,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16. 75. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 71. 34. 62.]"
0.0005452993308972966,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16. 75. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 71. 34. 62.]"
0.0005452993308972966,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16. 75. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 71. 34. 62.]"
