cost,genes
400000000.0,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0. 119.
  84.   4.  11.  79.  89.  20.  86.  40.  41.  14.  67.  50.  13.  13.
  18.  72.  81. 114.  86.  15.  17. 108. 109.  12.  97.   7. 120.  60.
 114. 101.  68. 100.  70.  42.  44.  47. 104. 108.  16.  56.   4.  80.
  26.  76.  66.   5.  14.  41.  22. 100.  69.  55.  81.  61. 114.  24.
 101.  22.  86. 109. 108.  29.  31. 116. 120.  98.  87.  10.  88.  26.
  23.  63.  32.  82.  83.  40.  18.  72.  55.]"
400000000.0,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  94.
  18.   5.  35.  12.  53.  76.  65.  53. 114.  29.  58.  57. 118. 114.
  66.  65. 106.  79.  47.  13.  47. 102.  85.   2.  18.  44.  73.   7.
  21.  17.  47.  54.  76.  52.  37.  68. 120.  58.  65.  24.   4.  75.
  41.  48.  62.  66.  97.  90.  97.  10.  86. 115.  97.  18.  84.  63.
  56.  84.  75. 100.  29.  31.  86.  24.  89.  10.  14. 117.  82.  87.
  70.  87.  53.  28.  72.  10.  20.  46.  54.]"
0.0009309370048280232,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  49.
 111.  63.  28.  35.  32.  31.  81.  23. 107.  49.  61.  16. 104.  97.
 118.  92. 106.  48.  31.  12.  59.  34.  25.  45.  62. 116.  56.  35.
  38.  16.  43.  49.   2.   1. 107.  50.  18.  74.  86.  45.  23.  79.
 101.  73.  76.   4.  50.  85.  32.  76.  75.  85.  52.  84.  95. 103.
 102.  39. 111.  71.  99.  81.  75.  41.  16.  98.  86.  54.  54.  10.
  82.  91.  22.  75.  58.  52.  53. 108.  55.]"
0.0009309370048280232,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  49.
 111.  63.  28.  35.  32.  31.  81.  23. 107.  49.  61.  16. 104.  97.
 118.  92. 106.  48.  31.  12.  59.  34.  25.  45.  62. 116.  56.  35.
  38.  16.  43.  49.   2.   1. 107.  50.  18.  74.  86.  45.  23.  79.
 101.  73.  76.   4.  50.  85.  32.  76.  75.  85.  52.  84.  95. 103.
 102.  39. 111.  71.  99.  81.  75.  41.  16.  98.  86.  54.  54.  10.
  82.  91.  22.  75.  58.  52.  53. 108.  55.]"
0.0009309370048280232,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  49.
 111.  63.  28.  35.  32.  31.  81.  23. 107.  49.  61.  16. 104.  97.
 118.  92. 106.  48.  31.  12.  59.  34.  25.  45.  62. 116.  56.  35.
  38.  16.  43.  49.   2.   1. 107.  50.  18.  74.  86.  45.  23.  79.
 101.  73.  76.   4.  50.  85.  32.  76.  75.  85.  52.  84.  95. 103.
 102.  39. 111.  71.  99.  81.  75.  41.  16.  98.  86.  54.  54.  10.
  82.  91.  22.  75.  58.  52.  53. 108.  55.]"
0.0009309370048280232,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  49.
 111.  63.  28.  35.  32.  31.  81.  23. 107.  49.  61.  16. 104.  97.
 118.  92.  85.  48.  31.  12.  59.  34.  25.  45.  62. 116.  56.  35.
  38.  16.  43.  49.   2.   1. 107.  50.  18.  74.  86.  45.  23.  79.
 101.  73.  76.   4.  50.  85.  32.  76.  75.  85.  52.  84.  95. 103.
 102.  39. 111.  71.  99.  81.  75.  41.  16.  98.  86.  54.  54.  10.
  82.  91.  22.  75.  58.  52.  53. 108.  55.]"
0.0009134329322627555,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  49.
 111.  63.  28.  35.  32.  31.  81.  23. 107.  49.  61.  16. 104.  97.
 118.  92.  85.  48.  31.  12.  59.  34.  25.  45.  62. 116.  56.  35.
  38.  16.  43.  49.   2.   1. 107.  50.  18.  74.  86.  45.  23.  79.
 101.  73.  76.   4.  50.  85.  32.  76.  75.  85.  52.  84.  95. 103.
 102.  39. 111. 119.  23.  52.  34. 106.  94.  98.  86.  54.  54.  10.
  82.  91.  22.  75.  58.  52.  53. 108.  55.]"
0.0008523699521617534,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  49.
 111.  63.  28.  35.  32.  31.  81.  23. 107.  49.  67.  50.  13.  13.
  18.  92. 106.  48.  31.  12.  59.  34.  25.  45.  62. 116.  56.  35.
  38.  16.  43.  49.   2.   1. 107.  50.  18.  74.  86.  45.  23.  79.
 101.  73.  76.   4.  50.  85.  32.  76.  75.  85.  52.  84.  95. 103.
 102.  39. 111.  71.  99. 107.  88.  41.  16.  98.  86.  54.  54.  10.
  82.  91.  22.  75.  58.  52.  53. 108.  55.]"
0.0008306233817057658,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  49.
 111.  63.  69.  35.  32.  31.  81.  23. 107.  49.  61.  16. 104.  97.
 118.  92. 106.  48.  31.  12.  59.  34.  25.  45.  62. 116.  56.  48.
  29.  77.   5.  20.  43.  78.  68.  50.  18.  74.  86.  45.  23.  79.
 101.  73.  76.   4.  50.  85.  32.  76.  75.  85.  52.  84.  95. 103.
 102.  39. 111.  71.  99.  81.  75.  41.  16.  98.  86.  54.  54.  10.
  82.  91.  22.  75.  58.  52.  53. 108.  55.]"
0.0008306233817057658,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  49.
 111.  63.  69.  35.  32.  31.  81.  23. 107.  49.  61.  16. 104.  97.
 118.  92. 106.  48.  31.  12.  59.  34.  25.  45.  62. 116.  56.  48.
  29.  77.   5.  20.  43.  78.  68.  50.  18.  74.  86.  45.  23.  79.
 101.  73.  76.   4.  50.  85.  32.  76.  75.  85.  52.  84.  95. 103.
 102.  39. 111.  71.  99.  81.  75.  41.  16.  98.  86.  54.  54.  10.
  82.  91.  22.  75.  58.  52.  53. 108.  55.]"
0.0008306233817057658,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  49.
 111.  63.  69.  35.  32.  31.  81.  23. 107.  49.  61.  16. 104.  97.
 118.  92. 106.  48.  31.  12.  59.  34.  25.  45.  62. 116.  56.  48.
  29.  77.   5.  20.  43.  78.  68.  50.  18.  74.  86.  45.  23.  79.
 101.  73.  76.   4.  50.  85.  32.  76.  75.  85.  52.  84.  95. 113.
 102.  39. 111.  71.  99.  81.  75.  41.  16.  98.  86.  54.  54.  10.
  82.  91.  22.  75.  58.  52.  53. 108.  55.]"
