cost,genes
400000000.0,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 20. 30. 75. 66. 54. 66.  9. 62. 12. 36. 56. 13. 19.
 17. 40. 65. 67.  6. 64. 36. 44. 23. 43. 40. 53. 74. 75. 15. 20. 26.  6.
 52. 65. 75.  2. 48. 11. 35. 74. 32.]"
400000000.0,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 72. 56. 33. 73. 27. 76. 17. 55. 72. 48. 23. 68. 18.
 76. 71. 40. 19. 72.  4.  1. 68. 57. 75. 72. 17. 23. 66. 75. 74. 21.  6.
 26. 16.  6.  8. 43. 57. 40. 75. 29.]"
0.0010105062024363984,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 38. 36. 78. 64. 27. 24. 74. 59. 17. 47. 52. 44. 71.
 56. 44. 62. 39. 41. 32. 54. 19. 65. 69. 15. 57.  1. 18. 33. 65. 44. 32.
 71. 44. 79. 22. 79. 66. 32.  8. 37.]"
0.0010105062024363984,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 38. 36. 78. 64. 27. 37. 74. 59. 17. 47. 52. 44. 71.
 56. 44. 62. 39. 41. 32. 54. 19. 65. 69. 15. 57.  1. 18. 33. 65. 44. 32.
 71. 44. 79. 22. 79. 66. 32.  8. 37.]"
0.0010105062024363984,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 38. 36. 78. 64. 27. 24. 74. 59. 17. 47. 52. 44. 71.
 56. 44. 62. 39. 41. 32. 54. 19. 65. 69. 15. 57.  1. 18. 33. 65. 44. 32.
 71. 44. 79. 22. 79. 65. 32.  8. 37.]"
0.0010105062024363984,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 38. 36. 78. 64. 27. 24. 74. 59. 17. 47. 52. 44. 71.
 56. 44. 62. 39. 41. 32. 54. 19. 65. 69. 15. 48.  1. 18. 33. 65. 44. 32.
 71. 44. 79. 22. 79. 65. 32.  8. 37.]"
0.0008374076439545364,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 38. 36. 78. 64. 27. 24. 74. 59. 17. 51. 52.  3. 42.
 25. 18. 62. 39. 41. 32. 54. 19. 65. 69. 15. 57.  1. 18. 33. 65. 44. 32.
 71. 44. 79. 22. 79. 65. 32.  8. 37.]"
0.0008374076439545364,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 38. 36. 78. 64. 27. 24. 74. 59. 17. 47. 52. 44. 71.
 56. 44. 62. 39. 41. 32. 54. 19. 80. 69. 15. 57.  1. 18. 33. 65. 44. 32.
 18. 76. 79. 22. 79. 66. 32.  8. 37.]"
0.0006869029102765928,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 38. 36. 78. 64. 27. 37. 74. 59. 17. 47. 52. 44. 71.
 56. 44. 62. 39. 41. 32. 54. 19. 65. 69. 15. 11. 27. 15. 76.  7.  9. 52.
 42. 39.  8. 13. 79. 66. 32.  8. 37.]"
0.0006869029102765928,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 29. 36. 78. 64. 27. 37. 74. 59. 17. 47. 52. 44. 71.
 56. 44. 62. 39. 41. 32. 54. 19. 65. 69. 15. 11. 27. 15. 76.  7.  9. 52.
 42. 39.  8. 13. 79. 66. 32.  8. 53.]"
